type,geometry,lat,lon,quantity
Feature,Point,52.52694444,13.44833333,24
Feature,Point,52.53388889,13.43888889,3
Feature,Point,52.52083333,13.41472222,18
Feature,Point,52.54361111,13.15055556,7
Feature,Point,52.5175,11.33333333,10
Feature,Point,52.42777778,10.77666667,5
Feature,Point,52.45638889,10.55361111,21
Feature,Point,52.41666667,10.17638889,14
Feature,Point,52.39166667,10.08388889,4
Feature,Point,52.37861111,9.9925,21
Feature,Point,52.37472222,10.04833333,3
Feature,Point,52.37555556,9.751666667,5
Feature,Point,52.37777778,9.743055556,8
Feature,Point,52.39222222,9.721944444,18
Feature,Point,52.39333333,9.689722222,8
Feature,Point,52.37916667,9.208611111,16
Feature,Point,52.30333333,8.951666667,24
Feature,Point,52.2125,8.885555556,8
Feature,Point,52.21027778,8.811666667,1
Feature,Point,52.16027778,8.6675,10
Feature,Point,51.98972222,8.496666667,3
Feature,Point,51.79555556,8.031388889,5
Feature,Point,51.79138889,7.959166667,3
Feature,Point,51.75888889,7.908333333,1
Feature,Point,51.66611111,7.817222222,33
Feature,Point,51.63555556,7.780833333,25
Feature,Point,51.54388889,7.730555556,4
Feature,Point,51.53805556,7.697777778,29
Feature,Point,51.53694444,7.663055556,2
Feature,Point,51.45083333,7.567777778,4
Feature,Point,51.44083333,7.566111111,1
Feature,Point,51.38472222,7.451111111,3
Feature,Point,51.37694444,7.456388889,4
Feature,Point,51.37138889,7.464166667,2
Feature,Point,51.36361111,7.464722222,5
Feature,Point,51.3475,7.442222222,2
Feature,Point,51.33777778,7.3925,1
Feature,Point,51.34305556,7.345,1
Feature,Point,51.31111111,7.332222222,6
Feature,Point,51.29472222,7.286388889,1
Feature,Point,51.28194444,7.26,2
Feature,Point,51.27333333,7.225555556,4
Feature,Point,51.27333333,7.212777778,2
Feature,Point,51.25527778,7.165277778,6
Feature,Point,51.25194444,7.130277778,1
Feature,Point,51.24194444,7.103055556,5
Feature,Point,51.18166667,6.997222222,4
Feature,Point,51.16888889,7.002222222,1
Feature,Point,51.02472222,7.018055556,5
Feature,Point,50.97805556,7.015555556,10
Feature,Point,50.96833333,7.018055556,5
Feature,Point,50.94416667,6.987222222,16
Feature,Point,50.94111111,6.971944444,16
Feature,Point,50.94388889,6.960277778,30
Feature,Point,50.94138889,6.955,6
Feature,Point,50.95027778,6.958611111,16
Feature,Point,50.94055556,6.939722222,2
Feature,Point,50.94083333,6.939166667,10
Feature,Point,50.94111111,6.925555556,3
Feature,Point,50.94527778,6.929722222,52
Feature,Point,50.93555556,6.931666667,24
Feature,Point,50.92527778,6.965,1
Feature,Point,50.93555556,6.9775,1
Feature,Point,50.94222222,6.981944444,2
Feature,Point,50.94805556,6.983333333,2
Feature,Point,50.94722222,6.981944444,9
Feature,Point,50.94777778,6.980833333,1
Feature,Point,50.9475,6.983055556,11
Feature,Point,50.94361111,6.974722222,5
Feature,Point,50.95916667,7.018055556,7
Feature,Point,51.21361111,7.007222222,2
Feature,Point,51.25305556,7.146666667,7
Feature,Point,51.24444444,7.149166667,3
Feature,Point,51.28916667,7.325833333,3
Feature,Point,51.3275,7.366388889,2
Feature,Point,51.34694444,7.413888889,2
Feature,Point,51.34805556,7.428055556,1
Feature,Point,51.35361111,7.451388889,2
Feature,Point,51.36,7.4625,2
Feature,Point,51.41111111,7.490277778,1
Feature,Point,51.49527778,7.587777778,1
Feature,Point,51.65111111,7.801111111,13
Feature,Point,51.85805556,8.315,7
Feature,Point,51.86916667,8.325277778,6
Feature,Point,51.98138889,8.486944444,14
Feature,Point,51.99694444,8.504444444,4
Feature,Point,52.04,8.549444444,18
Feature,Point,52.13055556,8.667222222,9
Feature,Point,52.29277778,8.931111111,7
Feature,Point,52.31027778,9.125555556,2
Feature,Point,52.42444444,9.39,1
Feature,Point,52.37555556,9.739444444,3
Feature,Point,52.37583333,9.976111111,15
Feature,Point,52.54305556,11.59111111,8
Feature,Point,52.50444444,13.3275,6
Feature,Point,52.50388889,13.3325,14
Feature,Point,52.49416667,13.33833333,1
Feature,Point,52.49694444,13.34666667,9
Feature,Point,52.49583333,13.3575,17
Feature,Point,52.50083333,13.35805556,6
Feature,Point,52.50416667,13.435,67
Feature,Point,52.51305556,13.44055556,2
Feature,Point,52.51416667,13.42361111,25
Feature,Point,52.51222222,13.43277778,11
Feature,Point,52.54305556,13.35,1
Feature,Point,52.54055556,13.32666667,8
Feature,Point,52.53694444,13.30055556,5
Feature,Point,51.30138889,6.7375,59
Feature,Point,51.27666667,6.762777778,3
Feature,Point,51.27888889,6.764444444,1
Feature,Point,51.27777778,6.764722222,2
Feature,Point,51.27666667,6.765,4
Feature,Point,51.27916667,6.775277778,2
Feature,Point,51.26916667,6.793333333,7
Feature,Point,51.2575,6.799166667,7
Feature,Point,51.215,6.781944444,106
Feature,Point,51.21527778,6.782222222,47
Feature,Point,51.24333333,6.801388889,1
Feature,Point,51.27388889,6.791111111,5
Feature,Point,51.28083333,6.784722222,9
Feature,Point,51.29138889,6.785833333,5
Feature,Point,51.365,6.775833333,6
Feature,Point,51.39527778,6.7725,13
Feature,Point,51.41694444,6.778888889,7
Feature,Point,51.44388889,6.903055556,4
Feature,Point,51.45194444,7.012222222,12
Feature,Point,51.45277778,7.037222222,8
Feature,Point,51.47166667,7.147777778,3
Feature,Point,51.47888889,7.220833333,23
Feature,Point,51.47861111,7.233611111,9
Feature,Point,51.48638889,7.263611111,7
Feature,Point,51.48083333,7.2825,7
Feature,Point,51.4775,7.298055556,2
Feature,Point,51.50833333,7.393611111,9
Feature,Point,51.51305556,7.419722222,5
Feature,Point,51.5125,7.443611111,12
Feature,Point,51.51916667,7.475833333,11
Feature,Point,51.57416667,7.608055556,1
Feature,Point,51.59222222,7.637777778,4
Feature,Point,51.58861111,7.665,10
Feature,Point,51.66,7.792222222,6
Feature,Point,51.67083333,7.798055556,16
Feature,Point,51.90666667,8.383055556,13
Feature,Point,51.9125,8.423333333,1
Feature,Point,52.07805556,8.631944444,11
Feature,Point,52.10944444,8.655555556,17
Feature,Point,52.19055556,8.676666667,5
Feature,Point,52.24138889,8.921944444,3
Feature,Point,52.29611111,8.964722222,10
Feature,Point,52.33694444,9.379166667,24
Feature,Point,52.37777778,9.388611111,25
Feature,Point,52.42694444,9.455833333,8
Feature,Point,52.37916667,9.822777778,5
Feature,Point,52.37527778,9.868888889,8
Feature,Point,52.36555556,9.966111111,11
Feature,Point,52.36138889,10.125,7
Feature,Point,52.42083333,10.76527778,4
Feature,Point,52.53583333,13.35805556,13
Feature,Point,52.51861111,13.37611111,30
Feature,Point,52.51833333,13.37888889,12
Feature,Point,52.51055556,13.24416667,2
Feature,Point,52.60833333,12.35611111,1
Feature,Point,52.42083333,10.75305556,2
Feature,Point,52.38083333,9.738888889,9
Feature,Point,52.39583333,9.675277778,7
Feature,Point,52.40861111,9.505833333,3
Feature,Point,52.27583333,8.890833333,2
Feature,Point,52.22194444,8.821111111,2
Feature,Point,52.17888889,8.674444444,10
Feature,Point,52.06583333,8.586944444,1
Feature,Point,52.05166667,8.552222222,1
Feature,Point,51.94055556,8.434722222,6
Feature,Point,51.64444444,7.767222222,5
Feature,Point,51.61722222,7.747777778,15
Feature,Point,51.58888889,7.668055556,2
Feature,Point,51.58194444,7.661111111,4
Feature,Point,51.52027778,7.488611111,19
Feature,Point,51.51194444,7.434722222,14
Feature,Point,51.48305556,7.248611111,10
Feature,Point,51.46555556,7.206666667,2
Feature,Point,51.46527778,7.18,8
Feature,Point,51.47305556,7.128888889,4
Feature,Point,51.47611111,7.108055556,8
Feature,Point,51.45722222,7.088888889,1
Feature,Point,51.45416667,7.022222222,11
Feature,Point,51.45305556,6.979444444,2
Feature,Point,51.445,6.865833333,4
Feature,Point,51.44583333,6.843611111,1
Feature,Point,51.4275,6.7775,4
Feature,Point,51.24694444,6.789166667,4
Feature,Point,51.21944444,6.768611111,161
Feature,Point,51.22944444,6.747222222,1
Feature,Point,51.21972222,6.792222222,35
Feature,Point,51.40638889,6.776388889,4
Feature,Point,51.425,6.778888889,1
Feature,Point,51.44638889,6.810833333,5
Feature,Point,51.42638889,6.895,2
Feature,Point,51.44916667,7,10
Feature,Point,51.45583333,7.11,2
Feature,Point,51.50805556,7.381666667,1
Feature,Point,51.51944444,7.460833333,37
Feature,Point,51.56666667,7.525833333,5
Feature,Point,51.57916667,7.534722222,3
Feature,Point,51.5875,7.536666667,3
Feature,Point,51.60138889,7.529722222,3
Feature,Point,51.64583333,7.571944444,2
Feature,Point,51.66361111,7.616111111,4
Feature,Point,51.88916667,7.608888889,2
Feature,Point,51.96166667,7.645277778,474
Feature,Point,51.96166667,7.644444444,114
Feature,Point,51.95611111,7.632222222,24
Feature,Point,51.96222222,7.625555556,4
Feature,Point,51.95972222,7.628333333,29
Feature,Point,51.9475,7.614722222,1
Feature,Point,51.94111111,7.610277778,1
Feature,Point,51.92305556,7.558055556,1
Feature,Point,51.90388889,7.42,1
Feature,Point,51.89277778,7.371388889,1
Feature,Point,51.84388889,7.266944444,5
Feature,Point,51.82805556,7.281944444,41
Feature,Point,51.76861111,7.173611111,1
Feature,Point,51.67305556,7.104166667,1
Feature,Point,51.65555556,7.044166667,2
Feature,Point,51.59916667,7.041111111,1
Feature,Point,51.57583333,7.03,3
Feature,Point,51.57527778,7.049722222,2
Feature,Point,51.56027778,7.046944444,1
Feature,Point,51.56083333,7.066944444,2
Feature,Point,51.55472222,7.066666667,3
Feature,Point,51.55416667,7.065833333,3
Feature,Point,51.55555556,7.067777778,6
Feature,Point,51.55361111,7.0675,2
Feature,Point,51.5875,7.036666667,2
Feature,Point,51.62361111,7.036944444,1
Feature,Point,51.58222222,7.050277778,1
Feature,Point,51.81083333,7.197222222,2
Feature,Point,51.91027778,7.522777778,1
Feature,Point,51.92722222,7.586666667,2
Feature,Point,51.94805556,7.625277778,57
Feature,Point,51.95527778,7.628611111,4
